CNTYVTD,trump,clinton,color
294137,49,4,#f66
294138,0,0,#ddd
294139,2,0,#f66
294140,0,0,#ddd
294141,16,97,#66f
294142,36,235,#66f
294143,384,979,#66f
294144,234,111,#f66
294145,5,5,#ddd
294146,3,10,#66f
294147,50,46,#faa
294148,37,38,#aaf
294149,77,108,#aaf
294150,307,549,#aaf
294151,226,61,#f66
294152,461,544,#aaf
294153,3,5,#aaf
294154,188,164,#faa
294155,278,843,#66f
294156,102,269,#66f
294157,139,576,#66f
294158,63,69,#aaf
294159,5,7,#aaf
294160,192,499,#66f
294161,46,207,#66f
294162,553,478,#faa
294163,410,853,#66f
294164,949,513,#faa
294165,33,23,#faa
294166,36,87,#66f
294167,9,20,#66f
294168,347,738,#66f
294169,143,77,#faa
294170,94,101,#aaf
294171,436,266,#faa
294172,346,277,#faa
294173,527,425,#faa
294174,273,358,#aaf
294175,1,1,#ddd
294176,404,205,#faa
294177,0,12,#66f
294178,0,3,#66f
294179,964,674,#faa
294180,0,0,#ddd
294181,0,0,#ddd
294182,0,0,#ddd
294183,6,41,#66f
294184,0,5,#66f
294185,1,0,#f66
294186,16,45,#66f
294187,0,0,#ddd
294188,0,1,#66f
294189,123,274,#66f
294190,2,0,#f66
294191,0,2,#66f
294192,0,0,#ddd
294193,3,16,#66f
294194,181,173,#faa
294195,0,0,#ddd
294196,0,0,#ddd
294198,238,613,#66f
294199,208,182,#faa
294200,255,563,#66f
294201,17,8,#f66
294202,0,0,#ddd
294203,0,3,#66f
294204,0,0,#ddd
294205,29,34,#aaf
294206,157,127,#faa
294207,17,3,#f66
294208,4,0,#f66
294209,23,3,#f66
294210,1,0,#f66
294211,4,8,#aaf
294212,3,0,#f66
294213,3,1,#f66
294214,1,2,#aaf
294215,26,21,#faa
294216,1,1,#ddd
294217,27,21,#faa
294218,0,0,#ddd
294219,0,0,#ddd
294220,4,11,#66f
310102,901,274,#f66
310201,1010,321,#f66
310302,504,198,#f66
310303,187,51,#f66
310304,108,53,#f66
310401,927,323,#f66
330004,98,8,#f66
350001,366,70,#f66
350002,389,124,#f66
350003,505,112,#f66
350004,265,47,#f66
350005,715,185,#f66
350006,553,163,#f66
350007,357,68,#f66
