CNTYVTD,Trump,Clinton,winner,population,registered,turnout,percentSpanishSurname
2570007,1703,944,Trump,5564,4330,2812,13.7
2570008,661,368,Trump,3913,1886,1071,13.3
2570009,779,217,Trump,2251,1695,1065,6.2
2570010,1247,198,Trump,3501,2293,1484,4.9
2570011,992,272,Trump,3291,2133,1344,7.5
2570012,921,142,Trump,2846,1817,1093,5.6
2570013,1023,573,Trump,3706,2634,1698,10.8
2570014,1216,492,Trump,3457,2766,1827,9.7
2570015,1337,228,Trump,4362,2749,1623,4.3
2570016,1454,202,Trump,4444,2849,1717,5.3
2570017,1027,140,Trump,2150,1708,1202,2.9
2570018,1121,226,Trump,2889,2289,1403,5.5
2570019,1074,415,Trump,4016,2416,1574,8.9
2570020,612,161,Trump,2336,1422,821,11.1
2570021,1129,221,Trump,4250,2482,1433,8.5
2570022,646,93,Trump,1451,1096,777,5.3
2570023,504,124,Trump,1756,1123,657,10.7
2570024,597,205,Trump,1782,1306,833,6
2570025,342,172,Trump,2034,958,532,8.4
2570026,177,547,Clinton,3906,1831,764,8.4
2570027,1544,486,Trump,3851,3210,2152,10.2
2570028,762,169,Trump,2814,1540,971,8.2
2570029,900,690,Trump,3385,2589,1715,11.1
2570030,833,206,Trump,2806,1733,1080,7.4
2591010,1331,415,Trump,3443,2875,1882,16.1
2591110,2246,508,Trump,4521,4147,2918,8.6
2592020,1254,227,Trump,2348,2063,1555,5.9
2592080,1745,423,Trump,3608,3280,2330,11.2
2593030,1405,245,Trump,2659,2349,1720,9.4
2593040,1941,461,Trump,4978,3840,2551,14.5
2593060,363,63,Trump,651,585,449,8.9
2594050,1343,391,Trump,4365,2769,1796,18.4
2594070,211,34,Trump,401,355,261,5.9
2594100,1818,433,Trump,3628,3297,2355,8.3
2610001,23,27,Clinton,109,79,51,63.3
2610002,27,32,Clinton,96,115,60,72.2
2610003,1,11,Clinton,12,23,12,87
2610004,20,4,Trump,42,39,24,53.8
2610005,5,14,Clinton,60,33,19,84.8
2610006,8,11,Clinton,97,29,20,69
2630101,112,20,Trump,300,189,142,10.6
2630201,23,6,Trump,42,38,30,2.6
2630202,64,6,Trump,122,103,70,3.9
2630301,69,11,Trump,122,108,82,5.6
2630302,21,2,Trump,59,39,22,5.1
2630401,71,14,Trump,163,138,88,18.1
2650101,1462,351,Trump,3396,2725,1872,10.2
2650107,519,112,Trump,1296,932,656,10.1
2650109,779,153,Trump,1713,1319,958,9.3
2650113,856,254,Trump,1910,1600,1173,6.6
2650118,202,76,Trump,765,540,287,13.9
2650119,1004,356,Trump,3034,2212,1436,11.8
2650202,1207,234,Trump,3596,2264,1499,10.5
2650211,501,156,Trump,2687,1191,701,18.8
2650215,1566,326,Trump,4449,3100,1968,13.5
2650220,1440,330,Trump,2269,2307,1838,4.6
2650303,537,105,Trump,915,867,657,5.3
2650308,279,95,Trump,1173,567,385,31.2
2650312,1592,612,Trump,5646,3754,2307,21.5
2650314,658,415,Trump,4166,2300,1133,34.6
2650404,554,61,Trump,1192,856,627,6.4
2650405,959,269,Trump,2037,1588,1268,4.3
2650406,1614,352,Trump,4212,3008,2023,8.9
2650410,179,14,Trump,294,259,198,3.9
2650416,891,208,Trump,2707,1647,1133,12.8
2650417,928,202,Trump,2168,1603,1178,6.3
2670001,433,50,Trump,1041,734,502,13.8
2670002,207,31,Trump,776,422,245,17.8
2670003,151,19,Trump,371,231,176,4.8
2670004,199,36,Trump,659,426,244,22.8
2670006,188,14,Trump,520,280,212,4.6
2670007,227,17,Trump,351,318,256,7.2
2670009,292,39,Trump,889,505,343,12.1
2690001,41,0,Trump,73,51,43,0
2690002,27,2,Trump,70,36,30,22.2
2690004,39,2,Trump,72,59,43,3.4
2710001,277,101,Trump,820,557,388,23.7
2710002,187,132,Trump,808,549,327,62.7
2710003,128,135,Clinton,829,526,269,69
2710004,344,90,Trump,1141,614,448,16.3
2730011,552,377,Trump,2852,1742,1013,39.9
2730012,444,288,Trump,1895,1299,794,52.4
2730013,316,433,Clinton,2268,1375,786,69
2730014,97,146,Clinton,823,481,261,79.2
2730021,36,146,Clinton,694,455,191,92.5
2730022,238,251,Clinton,1367,890,525,56.2
2730023,213,355,Clinton,2573,1299,619,73.2
2730024,303,340,Clinton,3288,1355,693,55.1
2730031,428,297,Trump,2722,1341,783,46.2
2730032,270,270,,2052,1116,571,55.2
2730033,217,170,Trump,963,667,403,57.6
