PrecinctKey,color
Maricopa 0399,#aaf
Maricopa 0537,#faa
Maricopa 0409,#faa
Maricopa 0452,#aaf
Maricopa 0450,#aaf
Maricopa 0553,#faa
Maricopa 0085,#66f
Maricopa 0230,#faa
Maricopa 0578,#aaf
Maricopa 0012,#faa
Maricopa 0280,#faa
Maricopa 0642,#aaf
Maricopa 0291,#66f
Maricopa 0133,#aaf
Maricopa 0287,#aaf
Maricopa 0622,#faa
Maricopa 0389,#aaf
Maricopa 0255,#f66
Maricopa 0011,#66f
Maricopa 0621,#faa
Maricopa 0237,#faa
Maricopa 0655,#faa
Maricopa 0445,#aaf
Maricopa 0147,#faa
Maricopa 0422,#faa
Maricopa 0138,#f66
Maricopa 0210,#aaf
Maricopa 0712,#faa
Maricopa 0167,#aaf
Maricopa 0127,#faa
Maricopa 0168,#faa
Maricopa 0052,#faa
Maricopa 0615,#faa
Maricopa 0090,#66f
Maricopa 0260,#aaf
Maricopa 0620,#faa
Maricopa 0581,#faa
Maricopa 0544,#faa
Maricopa 0233,#faa
Maricopa 0558,#faa
Maricopa 0669,#aaf
Maricopa 0577,#faa
Maricopa 0051,#faa
Maricopa 0320,#aaf
Maricopa 0134,#aaf
Maricopa 0684,#66f
Maricopa 0274,#aaf
Maricopa 0545,#faa
Maricopa 0261,#66f
Maricopa 0093,#faa
Maricopa 0689,#66f
Maricopa 0217,#faa
Maricopa 0657,#aaf
Maricopa 0594,#aaf
Maricopa 0572,#aaf
Maricopa 0061,#faa
Maricopa 0175,#faa
Maricopa 0384,#faa
Maricopa 0363,#66f
Maricopa 0438,#66f
Maricopa 0265,#faa
Maricopa 0177,#f66
Maricopa 0406,#faa
Maricopa 0624,#faa
Maricopa 0271,#faa
Maricopa 0059,#faa
Maricopa 0235,#faa
Maricopa 0446,#faa
Maricopa 0171,#faa
Maricopa 0603,#faa
Maricopa 0154,#faa
Maricopa 0045,#66f
Maricopa 0522,#faa
Maricopa 0645,#faa
Maricopa 0142,#faa
Mohave 0015,#f66
Mohave 0022,#f66
Mohave 0008,#f66
Mohave 0024,#66f
Mohave 0006,#f66
Mohave 0017,#f66
Mohave 0009,#f66
Mohave 0002,#f66
Mohave 0004,#f66
Mohave 0013,#f66
Mohave 0010,#f66
Mohave 0018,#f66
Mohave 0020,#f66
Mohave 0003,#f66
Mohave 0014,#f66
Mohave 0016,#f66
Mohave 0005,#f66
Mohave 0012,#f66
Mohave 0019,#f66
Mohave 0023,#faa
Mohave 0007,#f66
Mohave 0021,#f66
Mohave 0011,#f66
Mohave 0001,#f66
Navajo 0007,#f66
Navajo 0001,#66f
Navajo 0003,#f66
Navajo 0014,#faa
Navajo 0005,#66f
Navajo 0012,#f66
Navajo 0008,#f66
Navajo 0006,#66f
Navajo 0009,#f66
Navajo 0002,#66f
Navajo 0004,#66f
Navajo 0011,#f66
Navajo 0013,#f66
Navajo 0010,#f66
Pima 0111,#aaf
Pima 0150,#faa
Pima 0074,#faa
Pima 0201,#aaf
Pima 0199,#faa
Pima 0180,#faa
Pima 0105,#aaf
Pima 0176,#faa
Pima 0200,#faa
Pima 0106,#aaf
Pima 0202,#faa
Pima 0117,#aaf
Pima 0042,#66f
Pima 0212,#faa
Pima 0098,#66f
